,title,price,year,link,brand,location,age
229,2017 honda rebel 500 - low mileage,5000,2017.0,https://norfolk.craigslist.org/mcy/d/hampton-2017-honda-rebel-low-mileage/7786739758.html,harley-davidson,norfolk,8.0
230,95 honda goldwing se,3800,,https://baltimore.craigslist.org/mcy/d/westminster-95-honda-goldwing-se/7786725727.html,honda,baltimore,
231,2016 piaggio mc 500 cc scooter motorcycle,3200,2016.0,https://washingtondc.craigslist.org/nva/mcy/d/falls-church-2016-piaggio-mc-500-cc/7786720629.html,indian motorcycle,washingtondc,9.0
232,2023 harley-davidson breakout,20000,2023.0,https://washingtondc.craigslist.org/nva/mcy/d/manassas-2023-harley-davidson-breakout/7786715519.html,harley-davidson,washingtondc,2.0
233,2022 yamaha ttr 230,3300,2022.0,https://frederick.craigslist.org/mcy/d/mount-airy-2022-yamaha-ttr-230/7786675729.html,yamaha,frederick,3.0
234,kawasaki vulcan 1600 classic,3600,,https://washingtondc.craigslist.org/mld/mcy/d/columbia-kawasaki-vulcan-1600-classic/7786672632.html,kawasaki,washingtondc,
235,1997 harley davidson heritage softail classic - only 15k miles!,4899,1997.0,https://baltimore.craigslist.org/mcd/d/felton-1997-harley-davidson-heritage/7786660062.html,harley-davidson,baltimore,28.0
236,2019 ducati supersport s - new tires - only 6k miles,9899,2019.0,https://washingtondc.craigslist.org/mld/mcd/d/felton-2019-ducati-supersport-new-tires/7786659321.html,harley-davidson,washingtondc,6.0
237,2024 gsx-s1000,10000,2024.0,https://richmond.craigslist.org/mcy/d/henrico-2024-gsx-s1000/7786652481.html,missing,richmond,1.0
238,honda nt 700 v,3200,,https://washingtondc.craigslist.org/nva/mcy/d/fairfax-honda-nt-700/7786537655.html,harley-davidson,washingtondc,
239,1972 yamaha 80,1700,1972.0,https://york.craigslist.org/mcd/d/york-1972-yamaha-80/7786527918.html,yamaha,york,53.0
240,1986 kawasaki zl600,1895,1986.0,https://york.craigslist.org/mcd/d/york-1986-kawasaki-zl600/7786526441.html,kawasaki,york,39.0
241,2002 bmw r1150rt project bike,2495,2002.0,https://baltimore.craigslist.org/mcd/d/annapolis-junction-2002-bmw-r1150rt/7786522989.html,bmw motorrad,baltimore,23.0
242,1979 yamaha enduro 500 xt,3900,1979.0,https://york.craigslist.org/mcd/d/york-1979-yamaha-enduro-500-xt/7786518626.html,yamaha,york,46.0
243,1973 yamaha dt 250,3900,1973.0,https://york.craigslist.org/mcd/d/york-1973-yamaha-dt-250/7786517728.html,yamaha,york,52.0
244,nanrobot d4+ 2.5 electric scooter,1000,,https://baltimore.craigslist.org/mcy/d/glen-burnie-nanrobot-d4-25-electric/7786496034.html,missing,baltimore,
245,1983 honda goldwing,3000,1983.0,https://fredericksburg.craigslist.org/mcy/d/wicomico-church-1983-honda-goldwing/7786447888.html,honda,fredericksburg,42.0
246,2006 harley-davidson flhtcui ultra classic electra glide,11000,2006.0,https://harrisonburg.craigslist.org/mcy/d/hot-springs-2006-harley-davidson/7786443914.html,harley-davidson,harrisonburg,19.0
247,2006 harley-davidson flhtcui ultra classic electra glide,11000,2006.0,https://roanoke.craigslist.org/mcy/d/hot-springs-2006-harley-davidson/7786441718.html,harley-davidson,roanoke,19.0
248,2017 harley davidson iron 883,5500,2017.0,https://washingtondc.craigslist.org/nva/mcy/d/centreville-2017-harley-davidson-iron/7786360663.html,harley-davidson,washingtondc,8.0
249,2013 yamaha fjr 1300 abs - very clean - full warranty!,4899,2013.0,https://philadelphia.craigslist.org/mcd/d/felton-2013-yamaha-fjr-1300-abs-very/7786357383.html,harley-davidson,philadelphia,12.0
250,2013 victory vegas jackpot,8700,2013.0,https://roanoke.craigslist.org/mcy/d/buchanan-2013-victory-vegas-jackpot/7786355756.html,missing,roanoke,12.0
251,2005 yamaha v-star,3750,2005.0,https://charlottesville.craigslist.org/mcy/d/staunton-2005-yamaha-star/7786327047.html,yamaha,charlottesville,20.0
252,"2005 yamaha v-star 1,100",3750,2005.0,https://harrisonburg.craigslist.org/mcy/d/staunton-2005-yamaha-star-1100/7786326055.html,yamaha,harrisonburg,20.0
253,2021 ktm390 adventure,5500,2021.0,https://charlottesville.craigslist.org/mcy/d/charlottesville-2021-ktm390-adventure/7786316014.html,missing,charlottesville,4.0
254,2017 ducati scrambler 800,6500,2017.0,https://charlottesville.craigslist.org/mcy/d/charlottesville-2017-ducati-scrambler/7786296032.html,ducati,charlottesville,8.0
255,1970 honda cb 350,5500,1970.0,https://york.craigslist.org/mcd/d/york-1970-honda-cb-350/7786247679.html,honda,york,55.0
256,1981 yamaha virago,995,1981.0,https://york.craigslist.org/mcd/d/york-1981-yamaha-virago/7786247101.html,yamaha,york,44.0
257,1967 honda ct 90,1600,1967.0,https://york.craigslist.org/mcd/d/york-1967-honda-ct-90/7786245995.html,honda,york,58.0
258,1982 yamaha seca turbo,4900,1982.0,https://york.craigslist.org/mcd/d/york-1982-yamaha-seca-turbo/7786240807.html,yamaha,york,43.0
259,2001 yamaha roadstar midnight  star,2500,2001.0,https://frederick.craigslist.org/mcy/d/frederick-2001-yamaha-roadstar-midnight/7786225232.html,yamaha,frederick,24.0
260,1998 bmw r1200c,6425,1998.0,https://norfolk.craigslist.org/mcy/d/smithfield-1998-bmw-r1200c/7786119525.html,bmw motorrad,norfolk,27.0
261,2006 yamaha stratoliner s,4100,2006.0,https://winchester.craigslist.org/mcy/d/winchester-2006-yamaha-stratoliner/7786108880.html,harley-davidson,winchester,19.0
262,2012 cvo screaming eagle street glide,15000,2012.0,https://smd.craigslist.org/mcy/d/waldorf-2012-cvo-screaming-eagle-street/7786094627.html,missing,smd,13.0
263,2014 victory cross country tour,11250,2014.0,https://martinsburg.craigslist.org/mcy/d/charles-town-2014-victory-cross-country/7786088113.html,missing,martinsburg,11.0
264,rare 1986 honda spree nq50 lollipop green,750,1986.0,https://washingtondc.craigslist.org/nva/mcy/d/alexandria-rare-1986-honda-spree-nq50/7786067717.html,honda,washingtondc,39.0
265,2014 harley davidson,6500,2014.0,https://altoona.craigslist.org/mcy/d/breezewood-2014-harley-davidson/7786054992.html,harley-davidson,altoona,11.0
266,naxeon motorcycle iam  call to set up ride at turbopowersports,7999,,https://baltimore.craigslist.org/mcd/d/baltimore-naxeon-motorcycle-iam-call-to/7786049223.html,ducati,baltimore,
267,"2015 ducati diavel carbon - $11,500 obo – open to trade",11500,2015.0,https://washingtondc.craigslist.org/nva/mcy/d/springfield-2015-ducati-diavel-carbon/7786035345.html,harley-davidson,washingtondc,10.0
268,2009 susuki 650 burgman,3800,2009.0,https://york.craigslist.org/mcy/d/emigsville-2009-susuki-650-burgman/7786010682.html,missing,york,16.0
269,harley rocker c,9000,,https://richmond.craigslist.org/mcy/d/midlothian-harley-rocker/7786008291.html,harley-davidson,richmond,
270,2006 harley davidson electraglide flhtp,7000,2006.0,https://smd.craigslist.org/mcy/d/saint-leonard-2006-harley-davidson/7785998687.html,harley-davidson,smd,19.0
271,2017 triumph thruxton 1200r,11500,2017.0,https://richmond.craigslist.org/mcd/d/richmond-2017-triumph-thruxton-1200r/7785980231.html,triumph,richmond,8.0
272,2013 triumph tiger xc,6000,2013.0,https://frederick.craigslist.org/mcy/d/leesburg-2013-triumph-tiger-xc/7785975009.html,triumph,frederick,12.0
273,1973 kawasaki 100,2095,1973.0,https://york.craigslist.org/mcd/d/york-1973-kawasaki-100/7785915355.html,kawasaki,york,52.0
274,1977 suzuki gs 750,1795,1977.0,https://york.craigslist.org/mcd/d/york-1977-suzuki-gs-750/7785911677.html,suzuki,york,48.0
