,title,price,year,link,brand,location,age
0,victory trike,7900,,https://frederick.craigslist.org/mcy/d/thurmont-victory-trike/7789768248.html,missing,frederick,
1,2023 honda xr150l,3250,2023.0,https://richmond.craigslist.org/mcy/d/glen-allen-2023-honda-xr150l/7789766135.html,honda,richmond,2.0
2,2020 indian roadmaster dark horse,17000,2020.0,https://washingtondc.craigslist.org/nva/mcy/d/gainesville-2020-indian-roadmaster-dark/7789728967.html,indian motorcycle,washingtondc,5.0
3,"2023 royal enfield meteor 350, hunter and scram - huge savings!!!!!!",0,2023.0,https://norfolk.craigslist.org/mcd/d/newport-news-2023-royal-enfield-meteor/7789713076.html,harley-davidson,norfolk,2.0
4,"2022 can-am ryker - low miles, save big over a new one!",7999,2022.0,https://norfolk.craigslist.org/mcd/d/newport-news-2022-can-am-ryker-low/7789695651.html,harley-davidson,norfolk,3.0
5,2023 indian sport chief - custom bars and exhaust!,17999,2023.0,https://norfolk.craigslist.org/mcd/d/newport-news-2023-indian-sport-chief/7789694608.html,harley-davidson,norfolk,2.0
6,2003 r6 and 2006 600 gsxr,1000,2003.0,https://washingtondc.craigslist.org/mld/mcy/d/bowie-2003-r6-and-gsxr/7789693773.html,missing,washingtondc,22.0
7,"2022 indian roadmaster - tons of extras, excellent shape!",20999,2022.0,https://norfolk.craigslist.org/mcd/d/newport-news-2022-indian-roadmaster/7789693505.html,harley-davidson,norfolk,3.0
8,2023 royal enfield int 650 - great price - save over new!,4999,2023.0,https://norfolk.craigslist.org/mcd/d/newport-news-2023-royal-enfield-int/7789692413.html,harley-davidson,norfolk,2.0
9,2025 royal enfield himalayan 450 - come in for a test ride!,4799,2025.0,https://norfolk.craigslist.org/mcd/d/newport-news-2025-royal-enfield/7789689886.html,harley-davidson,norfolk,0.0
10,2014 hd electra glide ultra classic,16000,2014.0,https://norfolk.craigslist.org/mcy/d/hampton-2014-hd-electra-glide-ultra/7789672536.html,missing,norfolk,11.0
11,restored barn find,1200,,https://norfolk.craigslist.org/mcy/d/williamsburg-restored-barn-find/7789669000.html,missing,norfolk,
12,1967 triumph 650,6500,1967.0,https://york.craigslist.org/mcd/d/york-1967-triumph-650/7789652405.html,triumph,york,58.0
13,2023 klr 650 adventure,6500,2023.0,https://richmond.craigslist.org/mcy/d/amelia-court-house-2023-klr-650/7789651828.html,missing,richmond,2.0
14,2006 honda shadow aero,3250,2006.0,https://washingtondc.craigslist.org/mld/mcy/d/rockville-2006-honda-shadow-aero/7789650061.html,honda,washingtondc,19.0
15,kawasaki kx 450,3800,,https://washingtondc.craigslist.org/doc/mcy/d/vienna-kawasaki-kx-450/7789647424.html,kawasaki,washingtondc,
16,2006 honda goldwing trike & trailer,14500,2006.0,https://harrisonburg.craigslist.org/mcy/d/broadway-2006-honda-goldwing-trike/7789634057.html,honda,harrisonburg,19.0
17,great condition harley,20000,,https://baltimore.craigslist.org/mcy/d/finksburg-great-condition-harley/7789625965.html,harley-davidson,baltimore,
18,suzuki sv650 - naked,3500,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-suzuki-sv650-naked/7789620619.html,harley-davidson,washingtondc,
19,ktm duke,5000,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-ktm-duke/7789620316.html,ktm,washingtondc,
20,we want to buy or consign your powersports!,1,,https://richmond.craigslist.org/mcd/d/ashland-we-want-to-buy-or-consign-your/7789610846.html,bmw motorrad,richmond,
21,yamaha xvs1300 vstar,4000,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-yamaha-xvs1300-vstar/7789606950.html,yamaha,washingtondc,
22,2012 honda silver wing.,5500,2012.0,https://altoona.craigslist.org/mcy/d/curryville-2012-honda-silver-wing/7789598006.html,honda,altoona,13.0
23,2021 vanderhall venice blackjack   ,23995,2021.0,https://atlanta.craigslist.org/atl/mcd/d/richmond-2021-vanderhall-venice/7789579346.html,missing,atlanta,4.0
24,sputnik sidecar,2000,,https://altoona.craigslist.org/mcy/d/curryville-sputnik-sidecar/7789576471.html,missing,altoona,
25,harley davidson cvo street glide,21500,,https://washingtondc.craigslist.org/nva/mcy/d/occoquan-harley-davidson-cvo-street/7789576111.html,harley-davidson,washingtondc,
26,2021 honda goldwing,20000,2021.0,https://frederick.craigslist.org/mcy/d/boonsboro-2021-honda-goldwing/7789550488.html,honda,frederick,4.0
27,2017 harley davidson heritage,12500,2017.0,https://washingtondc.craigslist.org/mld/mcy/d/gaithersburg-2017-harley-davidson/7789546905.html,harley-davidson,washingtondc,8.0
28,1986 harley davidson fxrs low rider,3500,1986.0,https://easternshore.craigslist.org/mcy/d/centreville-1986-harley-davidson-fxrs/7789544441.html,harley-davidson,easternshore,39.0
29,2001 harley davidson dyna wide glide obo,2800,2001.0,https://smd.craigslist.org/mcy/d/clements-2001-harley-davidson-dyna-wide/7789542335.html,harley-davidson,smd,24.0
30,1998 goldwing trike=,7500,1998.0,https://harrisonburg.craigslist.org/mcy/d/broadway-1998-goldwing-trike/7789510082.html,missing,harrisonburg,27.0
31,2010 honda shadow phantom 750cc for sale,4500,2010.0,https://westmd.craigslist.org/mcy/d/smithsburg-2010-honda-shadow-phantom/7789493438.html,honda,westmd,15.0
32,mobility scooter,500,,https://chambersburg.craigslist.org/mcy/d/shippensburg-mobility-scooter/7789476153.html,missing,chambersburg,
33,sportster,4000,,https://fredericksburg.craigslist.org/mcy/d/issue-sportster/7789463228.html,missing,fredericksburg,
34,2004 kawasaki zx10r,2000,2004.0,https://richmond.craigslist.org/mcy/d/midlothian-2004-kawasaki-zx10r/7789460940.html,kawasaki,richmond,21.0
35,2014 honda ctx 1300,5500,2014.0,https://washingtondc.craigslist.org/nva/mcy/d/ashburn-2014-honda-ctx-1300/7789451471.html,honda,washingtondc,11.0
36,genuine buddy 125 scooter,1300,,https://norfolk.craigslist.org/mcy/d/lightfoot-genuine-buddy-125-scooter/7789439313.html,missing,norfolk,
37,honda cb500x abs rally raid,5100,,https://richmond.craigslist.org/mcy/d/mechanicsville-honda-cb500x-abs-rally/7789438001.html,honda,richmond,
38,crf150 r,2500,,https://baltimore.craigslist.org/mcy/d/savage-crf150/7789428519.html,harley-davidson,baltimore,
39,2012 suzuki dr650se,6500,2012.0,https://york.craigslist.org/mcd/d/york-2012-suzuki-dr650se/7789422516.html,suzuki,york,13.0
40,1973 honda cb125,1795,1973.0,https://york.craigslist.org/mcd/d/york-1973-honda-cb125/7789414346.html,honda,york,52.0
41,1982 suzuki gs550l,2000,1982.0,https://lynchburg.craigslist.org/mcy/d/lynchburg-1982-suzuki-gs550l/7789402301.html,suzuki,lynchburg,43.0
42,honda vt1300 stateline - price drop!,4500,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-honda-vt1300-stateline-price/7789389708.html,harley-davidson,washingtondc,
43,harley sportster,6500,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-harley-sportster/7789384591.html,harley-davidson,washingtondc,
44,suzuki sv1000s,4000,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-suzuki-sv1000s/7789372214.html,suzuki,washingtondc,
45,"suzuki v-strom 650xt abs, 3k miles",6250,,https://washingtondc.craigslist.org/mld/mcy/d/silver-spring-suzuki-strom-650xt-abs-3k/7789351643.html,suzuki,washingtondc,
46,minsk wild cat dirt bike,1700,,https://york.craigslist.org/mcd/d/york-minsk-wild-cat-dirt-bike/7789351194.html,ducati,york,
47,1994 honda xr 650,4295,1994.0,https://york.craigslist.org/mcd/d/york-1994-honda-xr-650/7789349821.html,honda,york,31.0
48,1970 bsa lightning 650,8500,1970.0,https://york.craigslist.org/mcd/d/york-1970-bsa-lightning-650/7789345927.html,missing,york,55.0
49,2002 kawasaki meanstreak,3500,2002.0,https://washingtondc.craigslist.org/nva/mcy/d/falls-church-2002-kawasaki-meanstreak/7789320107.html,kawasaki,washingtondc,23.0
50,2013 fatboy lo,7500,2013.0,https://fredericksburg.craigslist.org/mcy/d/fredericksburg-2013-fatboy-lo/7789311683.html,missing,fredericksburg,12.0
51,suzuki boulevard s40,3200,,https://charlottesville.craigslist.org/mcy/d/richmond-suzuki-boulevard-s40/7789288769.html,suzuki,charlottesville,
52,2022 husqvarna tc85 19/16,5400,2022.0,https://york.craigslist.org/mcy/d/stewartstown-2022-husqvarna-tc/7789257031.html,husqvarna,york,3.0
53,okai scooter,150,,https://washingtondc.craigslist.org/mld/mcy/d/rockville-okai-scooter/7789252578.html,missing,washingtondc,
54,2022 yamaha r7,9200,2022.0,https://washingtondc.craigslist.org/nva/mcy/d/springfield-2022-yamaha-r7/7789233181.html,yamaha,washingtondc,3.0
55,2007 suzuki vl 1500 trike,9250,2007.0,https://roanoke.craigslist.org/mcy/d/moneta-2007-suzuki-vl-1500-trike/7789174541.html,suzuki,roanoke,18.0
56,kawasaki z400 abs,3900,,https://washingtondc.craigslist.org/nva/mcy/d/haymarket-kawasaki-z400-abs/7789169512.html,kawasaki,washingtondc,
57,hot red '03 ducati superbike st4 abs - runs perfectly,9000,,https://fredericksburg.craigslist.org/mcy/d/fredericksburg-hot-red-03-ducati/7789155595.html,harley-davidson,fredericksburg,
58,stunning usflag harley custom fxstc $17k,17000,,https://fredericksburg.craigslist.org/mcy/d/fredericksburg-stunning-usflag-harley/7789142960.html,harley-davidson,fredericksburg,
59,2019 can-am spyder f3 limited,18000,2019.0,https://lynchburg.craigslist.org/mcy/d/amherst-2019-can-am-spyder-f3-limited/7789142656.html,missing,lynchburg,6.0
60,2002 honda vtx1800c custom,5500,2002.0,https://lynchburg.craigslist.org/mcy/d/amherst-2002-honda-vtx1800c-custom/7789141700.html,honda,lynchburg,23.0
61,2006 harley-davidson xl1200l,5000,2006.0,https://lynchburg.craigslist.org/mcy/d/amherst-2006-harley-davidson-xl1200l/7789140609.html,harley-davidson,lynchburg,19.0
62,2020 honda fury,6000,2020.0,https://harrisburg.craigslist.org/mcy/d/york-springs-2020-honda-fury/7789113292.html,honda,harrisburg,5.0
63,2002 road king,7950,2002.0,https://washingtondc.craigslist.org/mld/mcy/d/montgomery-village-2002-road-king/7789102897.html,missing,washingtondc,23.0
64,2008 kawasaki vulcan 900 classic lt - very clean must see!,3250,2008.0,https://reading.craigslist.org/mcy/d/felton-2008-kawasaki-vulcan-900-classic/7789080774.html,harley-davidson,reading,17.0
65,1995 honda vfr750,500,1995.0,https://annapolis.craigslist.org/mcy/d/crownsville-1995-honda-vfr750/7789078333.html,honda,annapolis,30.0
66,2009 custom harley davidson sportster 1200,2900,2009.0,https://winchester.craigslist.org/mcy/d/front-royal-2009-custom-harley-davidson/7789073991.html,harley-davidson,winchester,16.0
67,2003 honda shadow 750cc,2500,2003.0,https://norfolk.craigslist.org/mcy/d/newport-news-2003-honda-shadow-750cc/7789063603.html,honda,norfolk,22.0
68,2020 tiger rally pro 900,10000,2020.0,https://winchester.craigslist.org/mcy/d/middletown-2020-tiger-rally-pro-900/7789037658.html,missing,winchester,5.0
69,2016 r6 anniversary edition,9000,2016.0,https://winchester.craigslist.org/mcy/d/middletown-2016-r6-anniversary-edition/7789037201.html,missing,winchester,9.0
70,2007 harley road king,5250,2007.0,https://norfolk.craigslist.org/mcy/d/newport-news-2007-harley-road-king/7788998058.html,harley-davidson,norfolk,18.0
71,2017 triumph speed triple r,8500,2017.0,https://washingtondc.craigslist.org/nva/mcy/d/clifton-2017-triumph-speed-triple/7788994318.html,harley-davidson,washingtondc,8.0
72,2009 bmw f800 gs,6500,2009.0,https://fredericksburg.craigslist.org/mcy/d/garrisonville-2009-bmw-f800-gs/7788968447.html,bmw motorrad,fredericksburg,16.0
73,harley davidson low rider,8500,,https://richmond.craigslist.org/mcy/d/petersburg-harley-davidson-low-rider/7788965024.html,harley-davidson,richmond,
74,motorcycle nomad for sale,6500,,https://richmond.craigslist.org/mcy/d/petersburg-motorcycle-nomad-for-sale/7788963923.html,indian motorcycle,richmond,
75,97 yamaha xt225,1500,,https://lynchburg.craigslist.org/mcy/d/rustburg-97-yamaha-xt225/7788956432.html,yamaha,lynchburg,
76,2023 bmw s1000xr,18500,2023.0,https://washingtondc.craigslist.org/doc/mcy/d/washington-2023-bmw-s1000xr/7788947473.html,bmw motorrad,washingtondc,2.0
77,2017 hyosung gd 250 r - ultra low miles - only 2132 miles,2799,2017.0,https://baltimore.craigslist.org/mcy/d/felton-2017-hyosung-gd-250-ultra-low/7788929268.html,harley-davidson,baltimore,8.0
78,2019 ducati supersport s - new pirelli angel - only 6k miles - s model,9899,2019.0,https://longisland.craigslist.org/mcy/d/felton-2019-ducati-supersport-new/7788928169.html,harley-davidson,longisland,6.0
79,harley twin cam chopper / bobber,6250,,https://washingtondc.craigslist.org/nva/mcy/d/leesburg-harley-twin-cam-chopper-bobber/7788898451.html,harley-davidson,washingtondc,
80,1998 harley ultra classic,6200,1998.0,https://washingtondc.craigslist.org/nva/mcy/d/leesburg-1998-harley-ultra-classic/7788898256.html,harley-davidson,washingtondc,27.0
81,2010 versys 650,3500,2010.0,https://richmond.craigslist.org/mcy/d/henrico-2010-versys-650/7788883495.html,missing,richmond,15.0
82,for sale: 2017 kawasaki versys x300 abs - low mileage,3900,2017.0,https://washingtondc.craigslist.org/nva/mcy/d/leesburg-for-sale-2017-kawasaki-versys/7788878860.html,harley-davidson,washingtondc,8.0
83,2007 suzuki c50,2900,2007.0,https://washingtondc.craigslist.org/nva/mcy/d/alexandria-2007-suzuki-c50/7788862487.html,suzuki,washingtondc,18.0
84,ducati 1098 - update:  auction,10000,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-ducati-update-auction/7788856384.html,harley-davidson,washingtondc,
85,aprilia tuono v4 factory 1100 - update: auction,10000,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-aprilia-tuono-v4-factory/7788856341.html,harley-davidson,washingtondc,
86,2009 yamaha vino 125 cc,1450,2009.0,https://york.craigslist.org/mcy/d/airville-2009-yamaha-vino-125-cc/7788835997.html,yamaha,york,16.0
87,2009 sanyang  sym fiddle ii,895,2009.0,https://york.craigslist.org/mcd/d/york-2009-sanyang-sym-fiddle-ii/7788818027.html,missing,york,16.0
88,2011 harley street glide,11000,2011.0,https://washingtondc.craigslist.org/nva/mcy/d/fairfax-2011-harley-street-glide/7788814864.html,harley-davidson,washingtondc,14.0
89,1972 yamaha 125,2495,1972.0,https://york.craigslist.org/mcd/d/york-1972-yamaha-125/7788810556.html,yamaha,york,53.0
90,2012 yamaha r1 (sold),9000,2012.0,https://baltimore.craigslist.org/mcy/d/jessup-2012-yamaha-r1-sold/7788804037.html,yamaha,baltimore,13.0
91,x-pro x9 dirt bike 125cc 4 stroke $800,800,,https://baltimore.craigslist.org/mcy/d/woodbine-pro-x9-dirt-bike-125cc-stroke/7788797839.html,missing,baltimore,
92,*** rare 2005 vespa px-150 with side car***,6500,2005.0,https://washingtondc.craigslist.org/nva/mcy/d/mc-lean-rare-2005-vespa-px-150-with/7788793763.html,missing,washingtondc,20.0
93,2009 vespa 300 gts fully loaded model,6500,2009.0,https://washingtondc.craigslist.org/nva/mcy/d/mc-lean-2009-vespa-300-gts-fully-loaded/7788793578.html,missing,washingtondc,16.0
94,1971 honda ct70,6900,1971.0,https://york.craigslist.org/mcd/d/york-1971-honda-ct70/7788780657.html,honda,york,54.0
95,*nice yamaha vino 50 scooter. 600 miles. i can deliver.,1550,,https://washingtondc.craigslist.org/nva/mcy/d/alexandria-nice-yamaha-vino-50-scooter/7788770455.html,harley-davidson,washingtondc,
96,2005 harley ultra classic,6000,2005.0,https://westmd.craigslist.org/mcy/d/frostburg-2005-harley-ultra-classic/7788765387.html,harley-davidson,westmd,20.0
97,1973 honda cb 350,995,1973.0,https://york.craigslist.org/mcd/d/york-1973-honda-cb-350/7788759951.html,honda,york,52.0
98,2014 yamaha yzf-r1 - all original bodywork and paint - must see!,10750,2014.0,https://southjersey.craigslist.org/mcd/d/felton-2014-yamaha-yzf-r1-all-original/7788742175.html,harley-davidson,southjersey,11.0
99,1980 fxe super glide shovelhead,13500,1980.0,https://norfolk.craigslist.org/mcy/d/yorktown-1980-fxe-super-glide-shovelhead/7788733269.html,missing,norfolk,45.0
100,2005  harley heritage softail,6500,2005.0,https://lynchburg.craigslist.org/mcy/d/lynchburg-2005-harley-heritage-softail/7788679937.html,harley-davidson,lynchburg,20.0
101,custom chopper roller,7000,,https://westmd.craigslist.org/mcy/d/oakland-custom-chopper-roller/7788644433.html,missing,westmd,
102,2012 victory cross roads classic limited edition,6950,2012.0,https://cnj.craigslist.org/mcd/d/felton-2012-victory-cross-roads-classic/7788641252.html,missing,cnj,13.0
103,2008 kawasaki ninja zx-10r - recent full service - runs great!,6950,2008.0,https://lancaster.craigslist.org/mcd/d/felton-2008-kawasaki-ninja-zx-10r/7788638856.html,harley-davidson,lancaster,17.0
104,2023 harley davidson sportser s (factory warranty),13000,2023.0,https://washingtondc.craigslist.org/nva/mcy/d/clifton-2023-harley-davidson-sportser/7788627658.html,harley-davidson,washingtondc,2.0
105,bajaj chetak 150cc 4cycle 4speed,1500,,https://baltimore.craigslist.org/mcy/d/lutherville-timonium-bajaj-chetak-150cc/7788622639.html,bajaj,baltimore,
106,harley davidson custom fatboy,6500,,https://easternshore.craigslist.org/mcy/d/chester-harley-davidson-custom-fatboy/7788620495.html,harley-davidson,easternshore,
107,trailer,1000,,https://norfolk.craigslist.org/mcy/d/williamsburg-trailer/7788576441.html,missing,norfolk,
108,1991 harley heritage softtail,5300,1991.0,https://charlottesville.craigslist.org/mcy/d/louisa-1991-harley-heritage-softtail/7788540913.html,harley-davidson,charlottesville,34.0
109,1981 kawasaki kz650,2295,1981.0,https://york.craigslist.org/mcd/d/york-1981-kawasaki-kz650/7788535156.html,kawasaki,york,44.0
110,vespa et4 150,1500,,https://washingtondc.craigslist.org/nva/mcy/d/herndon-vespa-et4-150/7788512148.html,missing,washingtondc,
111,2013 harley sportster. just serviced,4500,2013.0,https://washingtondc.craigslist.org/mld/mcy/d/germantown-2013-harley-sportster-just/7788503745.html,harley-davidson,washingtondc,12.0
112,1973 honda cb 350 four,1295,1973.0,https://york.craigslist.org/mcd/d/york-1973-honda-cb-350-four/7788499864.html,honda,york,52.0
113,2017 honda grom,3200,2017.0,https://washingtondc.craigslist.org/nva/mcy/d/arlington-2017-honda-grom/7788480069.html,honda,washingtondc,8.0
114,touring motorcycle,3500,,https://harrisonburg.craigslist.org/mcy/d/harrisonburg-touring-motorcycle/7788465058.html,indian motorcycle,harrisonburg,
115,2022 super chief loaded,11000,2022.0,https://norfolk.craigslist.org/mcy/d/hampton-2022-super-chief-loaded/7788461242.html,missing,norfolk,3.0
116,indian scout 60 (2018),6000,2018.0,https://westmd.craigslist.org/mcy/d/keedysville-indian-scout/7788444553.html,indian motorcycle,westmd,7.0
117,"harley davidson softail fxsti, 2006",6900,2006.0,https://baltimore.craigslist.org/mcy/d/ellicott-city-harley-davidson-softail/7788444479.html,harley-davidson,baltimore,19.0
118,2007 street glide custom,7900,2007.0,https://washingtondc.craigslist.org/nva/mcy/d/hollywood-2007-street-glide-custom/7788429462.html,missing,washingtondc,18.0
119,2005 kawasaki  ninja zx6r  zx 636 sport bike,5000,2005.0,https://richmond.craigslist.org/mcy/d/beaverdam-2005-kawasaki-ninja-zx6r-zx/7788425195.html,kawasaki,richmond,20.0
120,2005 suzuki boulevard s83,2800,2005.0,https://washingtondc.craigslist.org/mld/mcy/d/potomac-2005-suzuki-boulevard-s83/7788361050.html,suzuki,washingtondc,20.0
121,2023 armour admit jet electric dirtbike,6500,2023.0,https://baltimore.craigslist.org/mcy/d/owings-mills-2023-armour-admit-jet/7788360325.html,missing,baltimore,2.0
122,2007 honda cbr600rr,3500,2007.0,https://richmond.craigslist.org/mcy/d/richmond-2007-honda-cbr600rr/7788348256.html,honda,richmond,18.0
123,2011 harley electraglide ultra limited,10500,2011.0,https://roanoke.craigslist.org/mcy/d/moneta-2011-harley-electraglide-ultra/7788348094.html,harley-davidson,roanoke,14.0
124,pair of vespa et4 150cc / honda nc50,3000,,https://washingtondc.craigslist.org/nva/mcy/d/woodstock-pair-of-vespa-et4-150cc-honda/7788320343.html,honda,washingtondc,
125,2018 roadmaster with extras by owner,18700,2018.0,https://washingtondc.craigslist.org/nva/mcy/d/fairfax-2018-roadmaster-with-extras-by/7788286777.html,missing,washingtondc,7.0
126,1999 harley davidson softail,5300,1999.0,https://richmond.craigslist.org/mcy/d/glen-allen-1999-harley-davidson-softail/7788275563.html,harley-davidson,richmond,26.0
127,2006 kawasaki klr 650,3000,2006.0,https://washingtondc.craigslist.org/mld/mcy/d/montgomery-village-2006-kawasaki-klr-650/7788275015.html,kawasaki,washingtondc,19.0
128,kawasaki ninja,4500,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-kawasaki-ninja/7788265577.html,kawasaki,washingtondc,
129,harley sportster - huge price drop!,3500,,https://washingtondc.craigslist.org/nva/mcd/d/chantilly-harley-sportster-huge-price/7788265497.html,harley-davidson,washingtondc,
130,1980 yamaha xs 850,3295,1980.0,https://york.craigslist.org/mcd/d/york-1980-yamaha-xs-850/7788263310.html,yamaha,york,45.0
131,1949 indian scout,4900,1949.0,https://york.craigslist.org/mcd/d/york-1949-indian-scout/7788252052.html,indian motorcycle,york,76.0
132,2013 road king,14000,2013.0,https://richmond.craigslist.org/mcy/d/richmond-2013-road-king/7788236318.html,missing,richmond,12.0
133,2006 honda crf150f,2800,2006.0,https://york.craigslist.org/mcy/d/new-park-2006-honda-crf150f/7788149862.html,honda,york,19.0
134,1969 t350 suzuki,5200,1969.0,https://chambersburg.craigslist.org/mcy/d/chambersburg-1969-t350-suzuki/7788142664.html,suzuki,chambersburg,56.0
135,2013 honda goldwing f6b,8500,2013.0,https://baltimore.craigslist.org/mcy/d/parkville-2013-honda-goldwing-f6b/7788072480.html,honda,baltimore,12.0
136,2003 yamaha v star 650,3000,2003.0,https://york.craigslist.org/mcy/d/felton-2003-yamaha-star-650/7788040447.html,harley-davidson,york,22.0
137,2015 harley-davidson ultra limited low,18000,2015.0,https://annapolis.craigslist.org/mcy/d/tracys-landing-2015-harley-davidson/7788022960.html,harley-davidson,annapolis,10.0
138,2013 harley-davidson softail slim,9000,2013.0,https://annapolis.craigslist.org/mcy/d/tracys-landing-2013-harley-davidson/7788021331.html,harley-davidson,annapolis,12.0
139,2017 gsx-r600,8200,2017.0,https://richmond.craigslist.org/mcy/d/henrico-2017-gsx-r600/7788018431.html,missing,richmond,8.0
140,1980 fxe super glide shovelhead,13500,1980.0,https://norfolk.craigslist.org/mcy/d/yorktown-1980-fxe-super-glide-shovelhead/7788015567.html,missing,norfolk,45.0
141,2013 harley night rod special,10800,2013.0,https://washingtondc.craigslist.org/nva/mcy/d/gainesville-2013-harley-night-rod/7788008360.html,harley-davidson,washingtondc,12.0
142,2003 sv650s track bike,1500,2003.0,https://charlottesville.craigslist.org/mcy/d/waynesboro-2003-sv650s-track-bike/7788000062.html,missing,charlottesville,22.0
143,harley road king,6000,,https://morgantown.craigslist.org/mcy/d/philippi-harley-road-king/7787995940.html,harley-davidson,morgantown,
144,'09 yy50qt-30,800,,https://annapolis.craigslist.org/mcy/d/annapolis-09-yy50qt-30/7787989135.html,missing,annapolis,
145,2025 triumph trident  660 triple tribute edition,8000,2025.0,https://frederick.craigslist.org/mcy/d/frederick-2025-triumph-trident-660/7787979614.html,triumph,frederick,0.0
146,1977 yamaha 360,1295,1977.0,https://york.craigslist.org/mcd/d/york-1977-yamaha-360/7787971909.html,yamaha,york,48.0
147,yamaha 1000 yzf-r1 reduced $1k for off season,7500,,https://martinsburg.craigslist.org/mcy/d/bunker-hill-yamaha-1000-yzf-r1-reduced/7787969423.html,yamaha,martinsburg,
148,2005 honda 80,1600,2005.0,https://chambersburg.craigslist.org/mcy/d/chambersburg-2005-honda-80/7787963080.html,honda,chambersburg,20.0
149,2022 piaggio mp3 hpe sport advanced,6995,2022.0,https://harrisburg.craigslist.org/mcy/d/lewisberry-2022-piaggio-mp3-hpe-sport/7787949216.html,missing,harrisburg,3.0
150,"1978 honda xr75 , motorcycle",4900,1978.0,https://york.craigslist.org/mcd/d/york-1978-honda-xr75-motorcycle/7787948594.html,honda,york,47.0
151,1974 honda cb 350 four,1695,1974.0,https://york.craigslist.org/mcd/d/york-1974-honda-cb-350-four/7787947923.html,honda,york,51.0
152,1995 suzuki katana,2395,1995.0,https://york.craigslist.org/mcd/d/york-1995-suzuki-katana/7787947449.html,suzuki,york,30.0
153,1975 honda cr125m elsinore,25000,1975.0,https://york.craigslist.org/mcd/d/york-1975-honda-cr125m-elsinore/7787945946.html,honda,york,50.0
154,2006 yamaha vstar 650 classic,2500,2006.0,https://harrisburg.craigslist.org/mcy/d/lewisberry-2006-yamaha-vstar-650-classic/7787938943.html,yamaha,harrisburg,19.0
155,2012 honda cbr250r - 541 original miles,2850,2012.0,https://smd.craigslist.org/mcy/d/saint-leonard-2012-honda-cbr250r/7787907775.html,harley-davidson,smd,13.0
156,yamaha r3 300cc,4000,,https://washingtondc.craigslist.org/mld/mcy/d/silver-spring-yamaha-r3-300cc/7787879820.html,yamaha,washingtondc,
157,2023 klr 650 s,6500,2023.0,https://lynchburg.craigslist.org/mcy/d/lynchburg-2023-klr-650/7787847026.html,harley-davidson,lynchburg,2.0
158,2007 harley sportster 1200 custom,2700,2007.0,https://fredericksburg.craigslist.org/mcy/d/fredericksburg-2007-harley-sportster/7787800092.html,harley-davidson,fredericksburg,18.0
159,1989 honda hawk gt (nt650),2200,1989.0,https://chambersburg.craigslist.org/mcy/d/waynesboro-1989-honda-hawk-gt-nt650/7787794219.html,honda,chambersburg,36.0
160,2004 hd heritage softail classic,5500,2004.0,https://richmond.craigslist.org/mcy/d/quinton-2004-hd-heritage-softail-classic/7787788428.html,missing,richmond,21.0
161,motorcycle kawasaki z650 abs,5000,,https://washingtondc.craigslist.org/doc/mcy/d/silver-spring-motorcycle-kawasaki-z650/7787779256.html,kawasaki,washingtondc,
162,can am spyder f3,13900,,https://washingtondc.craigslist.org/mld/mcy/d/rockville-can-am-spyder-f3/7787764386.html,yamaha,washingtondc,
163,honda goldwing,3000,,https://richmond.craigslist.org/mcy/d/heathsville-honda-goldwing/7787752368.html,honda,richmond,
164,harley road king,17500,,https://washingtondc.craigslist.org/nva/mcy/d/falls-church-harley-road-king/7787732445.html,harley-davidson,washingtondc,
165,gw trike & trailer combo,20000,,https://richmond.craigslist.org/mcy/d/keysville-gw-trike-trailer-combo/7787716136.html,missing,richmond,
166,2008 suzuki hayabusa with 4400 og miles,9300,2008.0,https://washingtondc.craigslist.org/nva/mcy/d/ashburn-2008-suzuki-hayabusa-with-4400/7787673504.html,suzuki,washingtondc,17.0
167,2009 suzuki v-strom 650 dl650,3000,2009.0,https://richmond.craigslist.org/mcy/d/richmond-2009-suzuki-strom-650-dl650/7787650658.html,suzuki,richmond,16.0
168,1996 kawasaki vulcan,2590,1996.0,https://winchester.craigslist.org/mcy/d/augusta-1996-kawasaki-vulcan/7787591234.html,kawasaki,winchester,29.0
169,2015 harley-davidson® xl883l - super low sportster® many extras,6000,2015.0,https://washingtondc.craigslist.org/mld/mcy/d/clarksburg-2015-harley-davidson-xl883l/7787583747.html,harley-davidson,washingtondc,10.0
170,2007 suzuki boulevard s50,2500,2007.0,https://washingtondc.craigslist.org/mld/mcy/d/beltsville-2007-suzuki-boulevard-s50/7787558780.html,suzuki,washingtondc,18.0
171,harley davidson sportster 1200 xl custom,5000,,https://washingtondc.craigslist.org/nva/mcy/d/alexandria-harley-davidson-sportster/7787510026.html,harley-davidson,washingtondc,
172,1993 harley davidson fxlr low rider custom,6750,1993.0,https://baltimore.craigslist.org/mcy/d/glen-burnie-1993-harley-davidson-fxlr/7787480347.html,harley-davidson,baltimore,32.0
